,date,sku,brand,offtake_dc,osa,csl,anp,sellin_dc,sp_inv_dc,sellout,sellout_revenue,sellout_price,store_distribution
42461AC2,4/1/2016,AC2,AC,108459,,,14981.32031,99822,,,,,6268
42461AC3,4/1/2016,AC3,AC,284785,,,14981.32031,299178,,,,,6268
42461AC4,4/1/2016,AC4,AC,43606,,,14981.32031,45870,,,,,6268
42461NC1,4/1/2016,NC1,NC,114490,,,19555.60156,22104,,,,,6634
42461NC2,4/1/2016,NC2,NC,183844,,,19555.60156,87216,,,,,6634
42461NC3,4/1/2016,NC3,NC,484923,,,19555.60156,462252,,,,,6634
42461NC4,4/1/2016,NC4,NC,81124,,,19555.60156,85620,,,,,6634
42491AC1,5/1/2016,AC1,AC,90618,,,36136.36719,14016,,,,,6167
42491AC2,5/1/2016,AC2,AC,133623,,,36136.36719,115302,,,,,6167
42491AC3,5/1/2016,AC3,AC,302213,,,36136.36719,412212,,,,,6167
42491AC4,5/1/2016,AC4,AC,36297,,,36136.36719,40746,,,,,6167
42491NC1,5/1/2016,NC1,NC,113520,,,27711.02344,112620,,,,,7082
42491NC2,5/1/2016,NC2,NC,152951,,,27711.02344,92380,,,,,7082
42491NC3,5/1/2016,NC3,NC,569385,,,27711.02344,973998,,,,,7082
42491NC4,5/1/2016,NC4,NC,67019,,,27711.02344,60054,,,,,7082
42522AC1,6/1/2016,AC1,AC,87429,,,30825.29883,62346,,,,,6902
42522AC2,6/1/2016,AC2,AC,98961,,,30825.29883,87450,,,,,6902
42522AC3,6/1/2016,AC3,AC,467814,,,30825.29883,189168,,,,,6902
42522AC4,6/1/2016,AC4,AC,46980,,,30825.29883,53658,,,,,6902
42522NC1,6/1/2016,NC1,NC,105248,,,27888.24609,130452,,,,,7807
42522NC2,6/1/2016,NC2,NC,140638,,,27888.24609,136800,,,,,7807
42522NC3,6/1/2016,NC3,NC,544981,,,27888.24609,616866,,,,,7807
42522NC4,6/1/2016,NC4,NC,95437,,,27888.24609,85728,,,,,7807
42552AC1,7/1/2016,AC1,AC,92697,,,9544.845703,118596,,,,,6958
42552AC2,7/1/2016,AC2,AC,103029,,,9544.845703,51060,,,,,6958
42552AC3,7/1/2016,AC3,AC,315343,,,9544.845703,376584,,,,,6958
42552AC4,7/1/2016,AC4,AC,43696,,,9544.845703,35388,,,,,6958
42552NC1,7/1/2016,NC1,NC,104705,,,8102.100098,131748,,,,,7350
42552NC2,7/1/2016,NC2,NC,133416,,,8102.100098,88818,,,,,7350
42552NC3,7/1/2016,NC3,NC,269847,,,8102.100098,490968,,,,,7350
42552NC4,7/1/2016,NC4,NC,92931,,,8102.100098,69036,,,,,7350
42583AC1,8/1/2016,AC1,AC,98125,,,25882.50781,118554,,,,,7492
42583AC2,8/1/2016,AC2,AC,101250,,,25882.50781,60846,,,,,7492
42583AC3,8/1/2016,AC3,AC,352080.72,,,25882.50781,412332,,,,,7492
42583AC4,8/1/2016,AC4,AC,52250,,,25882.50781,51330,,,,,7492
42583NC1,8/1/2016,NC1,NC,109089.12,,,10749.77539,97320,,,,,7844
42583NC2,8/1/2016,NC2,NC,126268.25,,,10749.77539,96450,,,,,7844
42583NC3,8/1/2016,NC3,NC,453391.45,,,10749.77539,888450,,,,,7844
42583NC4,8/1/2016,NC4,NC,98750,,,10749.77539,44520,,,,,7844
42614AC1,9/1/2016,AC1,AC,96836.17,,,24952.24023,124998,,,,,9322
42614AC2,9/1/2016,AC2,AC,112400.64,,,24952.24023,218976,,,,,9322
42614AC3,9/1/2016,AC3,AC,429877,,,24952.24023,715248,,,,,9322
42614AC4,9/1/2016,AC4,AC,57875,,,24952.24023,83328,,,,,9322
42614NC1,9/1/2016,NC1,NC,113855.4,,,24812.38281,152610,,,,,9701
42614NC2,9/1/2016,NC2,NC,126739.71,,,24812.38281,188652,,,,,9701
42614NC3,9/1/2016,NC3,NC,638184.78,,,24812.38281,707784,,,,,9701
42614NC4,9/1/2016,NC4,NC,91600,,,24812.38281,101508,,,,,9701
42644AC1,10/1/2016,AC1,AC,108341.6,,,0,139032,,,,,9029
42644AC2,10/1/2016,AC2,AC,140025.81,,,0,158346,,,,,9029
42644AC3,10/1/2016,AC3,AC,500412.16,,,0,621246,,,,,9029
42644AC4,10/1/2016,AC4,AC,65325,,,0,102360,,,,,9029
42644NC1,10/1/2016,NC1,NC,126587.73,,,0,182148,,,,,9207
42644NC2,10/1/2016,NC2,NC,149801.34,,,0,161178,,,,,9207
42644NC3,10/1/2016,NC3,NC,614178.7,,,0,616842,,,,,9207
42644NC4,10/1/2016,NC4,NC,102800,,,0,148260,,,,,9207
42675AC1,11/1/2016,AC1,AC,120187.83,,,0,111594,,,,,9625
42675AC2,11/1/2016,AC2,AC,143916.32,,,0,156708,,,,,9625
42675AC3,11/1/2016,AC3,AC,679527.67,,,0,527136,,,,,9625
42675AC4,11/1/2016,AC4,AC,107050,,,0,70146,,,,,9625
42675NC1,11/1/2016,NC1,NC,135917.3,,,0,123450,,,,,9767
42675NC2,11/1/2016,NC2,NC,156748.72,,,0,119736,,,,,9767
42675NC3,11/1/2016,NC3,NC,932031.25,,,0,768924,,,,,9767
42675NC4,11/1/2016,NC4,NC,137550,,,0,92934,,,,,9767
42705AC1,12/1/2016,AC1,AC,126606.46,,,0,150648,,,,,8038
42705AC2,12/1/2016,AC2,AC,160707.89,,,0,100440,,,,,8038
42705AC3,12/1/2016,AC3,AC,510885.55,,,0,441060,,,,,8038
42705AC4,12/1/2016,AC4,AC,64600,,,0,44934,,,,,8038
42705NC1,12/1/2016,NC1,NC,145931.35,,,0,126042,,,,,7670
42705NC2,12/1/2016,NC2,NC,149408.1,,,0,102984,,,,,7670
42705NC3,12/1/2016,NC3,NC,648815.67,,,0,430026,,,,,7670
42705NC4,12/1/2016,NC4,NC,104100,,,0,35466,,,,,7670
42736AC1,1/1/2017,AC1,AC,173900.8,0.870000005,0.839999974,9058.246094,197646,13961.99903,98698,23929297,372.3910314,10631
42736AC2,1/1/2017,AC2,AC,175586.76,0.910000026,0.899999976,9058.246094,141876,20198,81099,19729215,364.8322516,10631
42736AC3,1/1/2017,AC3,AC,612349.45,0.930000007,1,9058.246094,636126,107671.9995,387130,76295738,309.0304846,10631
42736AC4,1/1/2017,AC4,AC,89096.12,0.860000014,1,9058.246094,98430,29958.99789,45749,9180542,245.8242334,10631
42736AP1,1/1/2017,AP1,AP,4766.1,0.699999988,1,2329.780029,23352,6561,2844,2224242,1423.695652,427
42736AP2,1/1/2017,AP2,AP,5016.12,0.730000019,1,2329.780029,24192,6981,3191,2449374,1014.237288,427
42736AP3,1/1/2017,AP3,AP,8948.18,0.74000001,1,2329.780029,66540,22561,12126,7705677,1070.230769,427
42736AP4,1/1/2017,AP4,AP,0,,,2329.780029,0,,,,,427
42736NC1,1/1/2017,NC1,NC,202238.04,0.920000017,0.980000019,7419.009277,250566,75786.99514,119817,24120332,322.637422,10784
42736NC2,1/1/2017,NC2,NC,186216.34,0.920000017,1,7419.009277,223716,90596.99591,82472,15868372,274.0191348,10784
42736NC3,1/1/2017,NC3,NC,710325.42,0.930000007,1,7419.009277,765210,232769.994,425393,68047948,247.42864,10784
42736NC4,1/1/2017,NC4,NC,133625.48,0.860000014,1,7419.009277,139680,34051.99803,56265,9606688,204.4321543,10784
42767AC1,2/1/2017,AC1,AC,140976.38,0.769999981,0.790000021,8508.311523,145850,13294,46081,13745604,412.7553594,9510
42767AC2,2/1/2017,AC2,AC,143277.43,0.839999974,0.730000019,8508.311523,136440,18829.99901,55540,13870399,370.8056931,9510
42767AC3,2/1/2017,AC3,AC,470486.06,0.930000007,1,8508.311523,413568,188905,150109,33087103,296.8612811,9510
42767AC4,2/1/2017,AC4,AC,71290.58,0.870000005,1,8508.311523,51912,19377,22367,4932440,236.6066746,9510
42767AP1,2/1/2017,AP1,AP,11648.58,0.810000002,1,2000.614014,18300,6215,8195,3746579,830.8839286,669
42767AP2,2/1/2017,AP2,AP,11160.99,0.810000002,1,2000.614014,12408,4959,6579,2832627,744.877551,669
42767AP3,2/1/2017,AP3,AP,20102.32,0.850000024,1,2000.614014,26310,29385,9409,2887128,453.1477273,669
42767AP4,2/1/2017,AP4,AP,1019.81,,,2000.614014,8844,2910,1104,1237659,6230.142857,669
42767NC1,2/1/2017,NC1,NC,169038.97,0.910000026,0.779999971,5285.23877,112998,37874.996,65757,12897728,305.6656217,9768
42767NC2,2/1/2017,NC2,NC,157425.1,0.930000007,0.980000019,5285.23877,194718,92459.99799,100059,19753943,298.7007201,9768
42767NC3,2/1/2017,NC3,NC,574111.45,0.930000007,1,5285.23877,417294,276873.996,175495,29045272,229.8849325,9768
42767NC4,2/1/2017,NC4,NC,108064.32,0.870000005,1,5285.23877,109290,50255,29966,5880259,210.5885262,9768
42795AC1,3/1/2017,AC1,AC,179027.44,0.779999971,0.75999999,10623.00391,196872,13321.99899,81262,20015998,377.1191901,11008
42795AC2,3/1/2017,AC2,AC,166480.4,0.829999983,0.949999988,10623.00391,160806,17182.99878,74607,17991624,325.8955286,11008
42795AC3,3/1/2017,AC3,AC,633150.61,0.930000007,0.970000029,10623.00391,676236,227227.0002,340841,66625859,286.0853981,11008
42795AC4,3/1/2017,AC4,AC,96796.3,0.860000014,0.75,10623.00391,80040,24514.99902,32228,6667588,233.4100895,11008
42795AP1,3/1/2017,AP1,AP,19294.54,0.860000014,0.769999981,4491.056152,24078,4359,11189,4691139,594.5706667,1888
42795AP2,3/1/2017,AP2,AP,21730.66,0.850000024,0.810000002,4491.056152,23898,4513,11168,4885316,597.0403226,1888
42795AP3,3/1/2017,AP3,AP,43776.81,0.899999976,0.930000007,4491.056152,50298,28185,26453,9744166,546.3779385,1888
42795AP4,3/1/2017,AP4,AP,4802.38,,,4491.056152,17520,7400,4819,1784313,641.1136364,1888
42795NC1,3/1/2017,NC1,NC,172205.04,0.910000026,0.75,11268.03613,171246,63921.99448,62554,12898057,284.1077605,11248
42795NC2,3/1/2017,NC2,NC,177764.86,0.920000017,1,11268.03613,143916,70164.99641,77991,14364813,251.1704415,11248
42795NC3,3/1/2017,NC3,NC,731579.63,0.930000007,1,11268.03613,667866,148785.995,393871,63565167,247.7170189,11248
42795NC4,3/1/2017,NC4,NC,138233.94,0.870000005,1,11268.03613,112086,33871.99843,44226,7526024,204.9409499,11248
42826AC1,4/1/2017,AC1,AC,180077.81,0.790000021,0.99000001,7533.561035,178308,13166.51397,76851,19595109,396.2567694,10635
42826AC2,4/1/2017,AC2,AC,171915.77,0.800000012,0.959999979,7533.561035,217710,14685.72902,87793,21640563,379.3676962,10635
42826AC3,4/1/2017,AC3,AC,534637.41,0.920000017,1,7533.561035,556932,245543.9316,216795,44554799,312.7620492,10635
42826AC4,4/1/2017,AC4,AC,77268.63,0.829999983,0.49000001,7533.561035,12000,11942.83203,6403,1370053,217.6536503,10635
42826AP1,4/1/2017,AP1,AP,18888.89,0.769999981,0.800000012,30078.14648,12480,1377.773989,4708,2520703,574.8090909,2343
42826AP2,4/1/2017,AP2,AP,23355.56,0.779999971,0.949999988,30078.14648,38958,7242.104874,15760,6087700,583.7208672,2343
42826AP3,4/1/2017,AP3,AP,47533.33,0.889999986,1,30078.14648,69798,21170.72992,35097,12930550,504.8003273,2343
42826AP4,4/1/2017,AP4,AP,5967.9,,,30078.14648,11976,6725.913025,5362,1916900,555.6176471,2343
42826NC1,4/1/2017,NC1,NC,185565.69,0.899999976,0.99000001,8785.274414,201744,61966.43896,87837,19489028,352.3377351,10906
42826NC2,4/1/2017,NC2,NC,181038.92,0.910000026,0.980000019,8785.274414,183168,51896.2417,96967,17891297,283.0324364,10906
42826NC3,4/1/2017,NC3,NC,619858.48,0.920000017,1,8785.274414,699078,214097.0498,268311,44675346,264.0893524,10906
42826NC4,4/1/2017,NC4,NC,122146.81,0.850000024,0.99000001,8785.274414,79812,28647.71188,22139,3724384,196.257889,10906
42856AC1,5/1/2017,AC1,AC,122076.28,0.810000002,0.540000021,9654.65332,111816,17342.99796,39306,9916921,379.275154,11085
42856AC2,5/1/2017,AC2,AC,171499.08,0.790000021,0.790000021,9654.65332,191070,48605.99756,61148,15192197,363.4473544,11085
42856AC3,5/1/2017,AC3,AC,688451.8,0.949999988,1,9654.65332,690396,186965.9966,349364,68074543,302.0669445,11085
42856AC4,5/1/2017,AC4,AC,81900.99,0.800000012,0.819999993,9654.65332,122880,13468.99887,27206,6588466,258.4192229,11085
42856AP1,5/1/2017,AP1,AP,19612.98,0.620000005,0.639999986,20279.44727,11748,782.9970131,2463,1666853,625.1641791,2691
42856AP2,5/1/2017,AP2,AP,30760.67,0.819999993,0.99000001,20279.44727,22488,2354.997997,10791,5285854,625.3793103,2691
42856AP3,5/1/2017,AP3,AP,62928.65,0.920000017,1,20279.44727,87174,28947.99786,33051,12333043,477.5426009,2691
42856AP4,5/1/2017,AP4,AP,8648.15,,,20279.44727,9372,4073.997993,4038,1652726,590.7115385,2691
42856NC1,5/1/2017,NC1,NC,151245.48,0.920000017,0.949999988,17157.62109,115854,17887.9967,53508,11203917,306.9520581,11755
42856NC2,5/1/2017,NC2,NC,163424.13,0.920000017,0.930000007,17157.62109,167340,41686.99878,76236,15061561,285.479955,11755
42856NC3,5/1/2017,NC3,NC,797872.04,0.949999988,1,17157.62109,832896,174014.9971,363879,60035723,269.6298077,11755
42856NC4,5/1/2017,NC4,NC,118633.66,0.829999983,0.870000005,17157.62109,101916,21548.99829,19312,3600603,208.9266896,11755
42887AC1,6/1/2017,AC1,AC,168150.46,0.829999983,0.99000001,15191.67871,215964,24355,92138,23624846,406.364094,11547
42887AC2,6/1/2017,AC2,AC,214097.06,0.779999971,0.970000029,15191.67871,167232,11979,82028,20464171,371.3937102,11547
42887AC3,6/1/2017,AC3,AC,760425.46,0.930000007,1,15191.67871,442260,56994,259041,52288950,281.6280817,11547
42887AC4,6/1/2017,AC4,AC,111819.51,0.779999971,0.959999979,15191.67871,89118,17169,26659,6335644,247.2644398,11547
42887AP1,6/1/2017,AP1,AP,24974.63,0.560000002,0.970000029,11299.93457,53982,6900,21372,9213853,578.3726415,3273
42887AP2,6/1/2017,AP2,AP,31818.29,0.629999995,0.889999986,11299.93457,29538,1792,12033,5256712,514.2442997,3273
42887AP3,6/1/2017,AP3,AP,89760.87,0.920000017,1,11299.93457,83748,20262,41217,14225622,457.3121577,3273
42887AP4,6/1/2017,AP4,AP,12690.48,,,11299.93457,21738,7620,8136,2792642,545.1910112,3273
42887NC1,6/1/2017,NC1,NC,113668.66,0.889999986,0.99000001,27158.74609,130350,41123,54916,11402985,319.3867463,11547
42887NC2,6/1/2017,NC2,NC,215656.81,0.899999976,1,27158.74609,180756,27965,88576,17480484,286.7661642,11547
42887NC3,6/1/2017,NC3,NC,798673.45,0.930000007,0.99000001,27158.74609,501798,49609,275861,46142516,242.8115617,11547
42887NC4,6/1/2017,NC4,NC,131377.86,0.790000021,0.889999986,27158.74609,109404,10670,33555,5846446,201.9006574,11547
42917AC1,7/1/2017,AC1,AC,174266.7,0.889999986,1,16273.25781,265542,43016,125511,30354618,417.8677686,12086
42917AC2,7/1/2017,AC2,AC,213217.63,0.829999983,0.910000026,16273.25781,284190,16886.20001,125376,31271232,430.0889548,12086
42917AC3,7/1/2017,AC3,AC,563308.9,0.920000017,1,16273.25781,568456,59443,240090,50286840,301.4274809,12086
42917AC4,7/1/2017,AC4,AC,75699.67,0.790000021,1,16273.25781,96819,26793,23960,5342949,267.7954723,12086
42917AP1,7/1/2017,AP1,AP,25364.8,0.730000019,0.850000024,3196.993408,23924,4469,9616,4349048,500.0915751,3229
42917AP2,7/1/2017,AP2,AP,31872.67,0.519999981,0.569999993,3196.993408,13152,920,4125,1911100,579.1372549,3229
42917AP3,7/1/2017,AP3,AP,88158.01,0.920000017,1,3196.993408,82266,15972,37006,13007000,462.815445,3229
42917AP4,7/1/2017,AP4,AP,11806.29,,,3196.993408,11334,6058,5308,1916156,516.1104651,3229
42917NC1,7/1/2017,NC1,NC,120350.2,0.899999976,1,16648.43359,107712,30738,62800,13094910,314.3930443,11561
42917NC2,7/1/2017,NC2,NC,184538.83,0.889999986,0.99000001,16648.43359,184260,23644,89345,17051143,294.80681,11561
42917NC3,7/1/2017,NC3,NC,650498.48,0.920000017,1,16648.43359,693177,66475,237908,42856774,271.9576248,11561
42917NC4,7/1/2017,NC4,NC,101452.07,0.779999971,0.970000029,16648.43359,82332,10091,14284,2973837,241.9940547,11561
42948AC1,8/1/2017,AC1,AC,149826.33,0.899999976,1,34999.57813,177612,75747,95723,22640977,357.1799047,12198
42948AC2,8/1/2017,AC2,AC,247828.58,0.899999976,0.959999979,34999.57813,198786,5228.999016,127426,29690312,387.2059714,12198
42948AC3,8/1/2017,AC3,AC,711414.09,0.889999986,1,34999.57813,825594,64552,559396,111331530,329.6886859,12198
42948AC4,8/1/2017,AC4,AC,104279.88,0.889999986,0.970000029,34999.57813,118578,16197,88353,16889436,283.4936261,12198
42948AP1,8/1/2017,AP1,AP,31155.75,0.879999995,0.920000017,6109.53125,66810,13528,38158,13555723,547.1379704,4301
42948AP2,8/1/2017,AP2,AP,42144.69,0.870000005,0.970000029,6109.53125,65628,3075,39248,13907522,562.2688971,4301
42948AP3,8/1/2017,AP3,AP,107220.5,0.899999976,1,6109.53125,113004,17540,74436,22775703,442.8342246,4301
42948AP4,8/1/2017,AP4,AP,14700.04,,,6109.53125,11220,3591,9838,2838769,373.9351852,4301
42948NC1,8/1/2017,NC1,NC,142299.69,0.899999976,1,28527.02344,176706,53394,103087,21130602,351.7821739,12281
42948NC2,8/1/2017,NC2,NC,194379.25,0.889999986,0.959999979,28527.02344,155700,7772,110095,19739125,278.0217129,12281
42948NC3,8/1/2017,NC3,NC,805910.24,0.889999986,1,28527.02344,870966,72861,624754,103038251,275.7390306,12281
42948NC4,8/1/2017,NC4,NC,135467.98,0.889999986,0.980000019,28527.02344,162354,14664,108891,17686042,257.1675359,12281
42979AC1,9/1/2017,AC1,AC,151037.5,0.930000007,1,44566.92578,123204,66262,87453,19710438,337.1370864,12504
42979AC2,9/1/2017,AC2,AC,248200.03,0.850000024,0.939999998,44566.92578,186372,4626.999012,116932,27870774,408.1793505,12504
42979AC3,9/1/2017,AC3,AC,764605.91,0.930000007,0.949999988,44566.92578,818946,52681,585532,116278206,314.0351482,12504
42979AC4,9/1/2017,AC4,AC,103506.24,0.819999993,0.75999999,44566.92578,109830,15301,72334,14531870,278.3220199,12504
42979AP1,9/1/2017,AP1,AP,36289.09,0.879999995,0.99000001,7681.13623,63624,27712,30618,10112225,457.4406977,4675
42979AP2,9/1/2017,AP2,AP,47278.02,0.769999981,0.99000001,7681.13623,106440,22819,48274,18143174,499.4967603,4675
42979AP3,9/1/2017,AP3,AP,127809.39,0.920000017,0.899999976,7681.13623,167754,32293,94091,31357353,482.1447154,4675
42979AP4,9/1/2017,AP4,AP,15774.48,0.810000002,0.75999999,7681.13623,21570,7837,11293,3409472,445.7530364,4675
42979NC1,9/1/2017,NC1,NC,135693.08,0.939999998,1,41781.4375,135456,50870,91982,18278688,324.9367553,13296
42979NC2,9/1/2017,NC2,NC,243696.73,0.920000017,1,41781.4375,325320,22987,189959,35753188,325.0407779,13296
42979NC3,9/1/2017,NC3,NC,882312.09,0.939999998,1,41781.4375,1146594,184443,675174,115172325,281.2163603,13296
42979NC4,9/1/2017,NC4,NC,132732.54,0.810000002,0.99000001,41781.4375,158538,30087,89537,15077930,231.1546392,13296
43009AC1,10/1/2017,AC1,AC,144273.35,0.930000007,0.99000001,47449.99609,127422,82174,72518,17030383,347.4200201,11309
43009AC2,10/1/2017,AC2,AC,193482.57,0.779999971,0.980000019,47449.99609,133728,11618.99895,90576,20578189,387.46875,11309
43009AC3,10/1/2017,AC3,AC,722632.23,0.889999986,0.99000001,47449.99609,796068,122088,534611,105740793,329.5363357,11309
43009AC4,10/1/2017,AC4,AC,97496.36,0.790000021,0.870000005,47449.99609,82794,28209,47845,9991530,305.6154721,11309
43009AP1,10/1/2017,AP1,AP,41617.5,0.879999995,1,8676.533203,38400,34063,22713,7460274,450.9338843,4553
43009AP2,10/1/2017,AP2,AP,56160.77,0.779999971,0.970000029,8676.533203,68520,20777,51920,16590797,451.0057208,4553
43009AP3,10/1/2017,AP3,AP,138285.74,0.860000014,0.99000001,8676.533203,121704,43371,78800,24020898,426.1223022,4553
43009AP4,10/1/2017,AP4,AP,15284.61,0.75999999,1,8676.533203,13674,8621,11258,3675144,464.5029586,4553
43009NC1,10/1/2017,NC1,NC,119887.42,0.930000007,1,57024.6875,122922,67092,75008,15071684,332.120283,11560
43009NC2,10/1/2017,NC2,NC,225781.76,0.910000026,1,57024.6875,243342,21918,182245,33026679,303.8389654,11560
43009NC3,10/1/2017,NC3,NC,767486.58,0.930000007,0.99000001,57024.6875,1004598,243156,726900,118380979,285.423814,11560
43009NC4,10/1/2017,NC4,NC,127323.99,0.800000012,0.980000019,57024.6875,154800,64564,88357,14536287,256.3898488,11560
43040AC1,11/1/2017,AC1,AC,141635.29,0.921999991,1,34338.44141,95928,63401,71369,17412992,331.4037037,10468
43040AC2,11/1/2017,AC2,AC,152732.39,0.720000029,0.959999979,34338.44141,123408,5237.999012,80828,17385476,358.6525285,10468
43040AC3,11/1/2017,AC3,AC,800894.01,0.860000014,0.99000001,34338.44141,487050,25240,467255,84773538,298.68,10468
43040AC4,11/1/2017,AC4,AC,125909.38,0.75,0.899999976,34338.44141,57594,7614,65429,11794392,230.8866242,10468
43040AP1,11/1/2017,AP1,AP,41759.1,0.889999986,0.99000001,6264.062988,34512,25381,26518,9824522,437.804878,5287
43040AP2,11/1/2017,AP2,AP,60782.2,0.819999993,0.980000019,6264.062988,55650,17534,37437,12697394,454.6435986,5287
43040AP3,11/1/2017,AP3,AP,196374.58,0.860000014,0.980000019,6264.062988,194772,22273,156167,48480094,453.3790022,5287
43040AP4,11/1/2017,AP4,AP,27024.04,0.75,1,6264.062988,20772,4469,18010,5429129,432.2866894,5287
43040NC1,11/1/2017,NC1,NC,118115.85,0.930000007,0.99000001,43474.51563,69462,54183,54160,11741537,318.4604135,12269
43040NC2,11/1/2017,NC2,NC,221747.59,0.910000026,0.930000007,43474.51563,226032,37883,157766,26734219,278.7852734,12269
43040NC3,11/1/2017,NC3,NC,1296189.59,0.930000007,0.99000001,43474.51563,753006,68102,792242,123132511,246.6480813,12269
43040NC4,11/1/2017,NC4,NC,235401.61,0.779999971,0.99000001,43474.51563,161262,18924,176068,27325990,236.6619273,12269
43070AC1,12/1/2017,AC1,AC,130822.49,0.920000017,0.99000001,29860.33984,56544,20729,54251,12937350,325.0397022,11499
43070AC2,12/1/2017,AC2,AC,191642.51,0.800000012,0.980000019,29860.33984,273918,16418.99901,173961,39561960,395.7440302,11499
43070AC3,12/1/2017,AC3,AC,696817.58,0.860000014,0.99000001,29860.33984,767712,39498,544479,106831787,334.9516386,11499
43070AC4,12/1/2017,AC4,AC,86470.67,0.730000019,0.959999979,29860.33984,112950,8126,81881,16362585,296.8953069,11499
43070AP1,12/1/2017,AP1,AP,49488.2,0.899999976,1,5496.378906,17202,13278,18100,5571722,370.1008646,4939
43070AP2,12/1/2017,AP2,AP,52643.07,0.860000014,0.949999988,5496.378906,35190,9733,27423,9226443,449.84573,4939
43070AP3,12/1/2017,AP3,AP,188388.79,0.879999995,0.970000029,5496.378906,139500,6880,110114,33280026,406.9939819,4939
43070AP4,12/1/2017,AP4,AP,22623.06,0.699999988,0.899999976,5496.378906,14256,1871,13169,3631292,353,4939
43070NC1,12/1/2017,NC1,NC,103596.2,0.899999976,0.99000001,30138.39648,68352,41925,44566,9079373,289.1157837,10915
43070NC2,12/1/2017,NC2,NC,188363.51,0.860000014,0.99000001,30138.39648,171072,46155,105709,18061656,252.8929552,10915
43070NC3,12/1/2017,NC3,NC,763734.74,0.879999995,1,30138.39648,537406,52759,422955,67161358,250.202381,10915
43070NC4,12/1/2017,NC4,NC,137894.45,0.730000019,0.970000029,30138.39648,89448,9377,66805,11484639,255.9000917,10915
43101AC1,1/1/2018,AC1,AC,161344.41,0.959999979,0.99000001,35274.73047,229784,26221,139343,35039824,419.6004422,14657
43101AC2,1/1/2018,AC2,AC,267866.17,0.910000026,0.99000001,35274.73047,436866,36566,289269,66762572,439.0114679,14657
43101AC3,1/1/2018,AC3,AC,1157800.32,0.910000026,0.970000029,35274.73047,1231590,51807,909521,182122358,336.5842321,14657
43101AC4,1/1/2018,AC4,AC,145317.43,0.790000021,0.970000029,35274.73047,201227,15070,141753,28365235,311.4845245,14657
43101AP1,1/1/2018,AP1,AP,55806.3,0.910000026,0.970000029,5217.495605,64266,14832,39496,14103542,484.9417863,5800
43101AP1MINI,1/1/2018,AP1MINI,AP,2446,,,5217.495605,24684,8131,7520,1844226,1464.317073,5800
43101AP2,1/1/2018,AP2,AP,81380.37,0.870000005,0.959999979,5217.495605,93870,12072,57690,20913115,492.0619403,5800
43101AP3,1/1/2018,AP3,AP,188707.78,0.800000012,0.829999983,5217.495605,134145,2166,106652,31130308,389.4992089,5800
43101AP4,1/1/2018,AP4,AP,21523.7,0.689999998,0.99000001,5217.495605,35008,5364,23079,7216705,440.212766,5800
43101NC1,1/1/2018,NC1,NC,134593.84,0.959999979,0.980000019,20642.29688,181194,30304,128374,26803289,390.1425719,14581
43101NC2,1/1/2018,NC2,NC,233685.3,0.959999979,0.99000001,20642.29688,384102,66422,278158,48533862,316.9880034,14581
43101NC3,1/1/2018,NC3,NC,1169399.11,0.949999988,0.99000001,20642.29688,1308990,35546,1022668,171378080,286.0681098,14581
