,sku_wo_pkg,country,brand,tier,stage,stage_3f,date,offtake_di,offtake_eib,offtake_il,sellin_eib,retailer_inv,sellout,sp_inv,sellin_di,isa,osa,price,price_krmb_per_ton_il,value_krmb_il,volume_ton_il,total_vol,if_vol,fo_vol,gum_vol,cl_vol,il_vol,0to6_month_population,6to12_month_population,12to36_month_population,sellin_il
2175,UK_C&G_C&G_2,UK,C&G,C&G,2,FO,2018-12-01,9.256,19.274382535485586,28.530382535485586,43.8047981262207,17.17973333,13.0176,16.1656,9.216000000000001,-1.0,0.9080000162124634,129.53016662597656,206.6470116509332,1134333.1726014614,5662.902225152589,38676.5392027443,6725.3427628734,8168.292625085809,23782.9038147851,30661.2762837327,8015.262919011669,837.8276400000003,686.07708,3509.40174,53.020798126220704
2176,UK_C&G_C&G_2,UK,C&G,C&G,2,FO,2019-01-01,9.6224,18.41108941390842,28.03348941390842,13.81439971923828,14.7884,8.7824,24.1328,28.0704,-1.0,0.896399998664856,129.90303039550778,212.71625985039609,1012968.8292627336,4926.822826251388,40964.3948854721,7513.2871674247,8909.16256075663,24541.9451572908,33129.0549531734,7835.33993229869,862.998973056951,658.8046400000002,3487.3320000000012,41.88479971923828
2177,UK_C&G_C&G_2,UK,C&G,C&G,2,FO,2019-02-01,7.3927999999999985,16.227418125358923,23.620218125358925,48.78720092773438,9.956266667000001,5.4232000000000005,27.832,9.8928,-1.0,0.8989280819892883,132.88163757324222,212.43353271484366,696776.8293199539,3365.967523034662,34267.767464861005,6963.919249541379,7482.522522115841,19821.3256932038,27442.4808525123,6825.286612348679,875.2994634355838,644.4828,3466.100020000001,58.68000092773438
2178,UK_C&G_C&G_2,UK,C&G,C&G,2,FO,2019-03-01,11.3096,24.59613632558016,35.905736325580165,13.190400123596193,10.59613333,12.2808,44.2384,42.4224,-1.0,0.9246438145637512,136.71821594238278,209.91102303398984,939715.0108904841,4601.329849885311,39015.1141000703,7893.082006188871,8254.68227383381,22867.3498200477,30794.1323821784,8220.98171789193,887.467533144637,630.31332,3445.07748,55.6128001235962
2179,UK_C&G_C&G_2,UK,C&G,C&G,2,FO,2019-04-01,13.2896,14.133630116572052,27.42323011657205,11.971199989318848,11.91556,16.616,40.3672,19.6128,-1.0,0.9276333451271056,,207.750616285536,865988.7755975723,4320.805306993425,37634.5927026719,7345.34226545827,7889.353170265501,22399.8972669482,29300.580741152597,8334.01196151927,859.681743814366,656.36688,3426.8823799999996,31.58399998931885
2180,UK_C&G_C&G_2,UK,C&G,C&G,2,FO,2019-05-01,10.2088,17.116553257467388,27.325353257467388,14.32800006866455,23.6464,10.7296,16.5528,10.08,-1.0,0.926199996471405,,205.78634219699435,956953.8456573486,4725.578688343987,39584.8523493777,7372.640772667371,8258.6705585587,23953.5410181517,30935.3842593644,8649.468090013292,748.882186230817,765.45664,3408.9229,24.40800006866455
2181,UK_C&G_C&G_2,UK,C&G,C&G,2,FO,2019-06-01,10.1296,32.37739210657007,42.506992106570074,12.686400413513185,10.2336,7.8784,11.5824,10.0224,-1.0,0.9322750121355056,,198.2766109042697,1478585.567644119,7535.208055116236,40637.0566778608,7091.98656216612,8161.30337324452,25383.7667424502,31760.6209028947,8876.4357749661,674.853729389622,837.8276400000003,3391.5132,22.708800413513174
2182,UK_C&G_C&G_2,UK,C&G,C&G,2,FO,2019-07-01,10.764,22.151949730502643,32.915949730502646,13.190400123596193,0.0,5.88,25.8232,9.1152,-1.0,0.9300500005483628,,204.62845950656467,1170557.9610963908,5670.469073094428,38094.200783797205,6632.17252510097,7939.008775894409,23523.019482801803,29506.2071053588,8587.99367843837,648.027431907778,862.998973056951,3374.129679999989,22.3056001235962
2183,UK_C&G_C&G_2,UK,C&G,C&G,2,FO,2019-08-01,10.7704,17.283044171586212,28.053444171586214,13.939200401306152,0.0,9.868,20.4144,0.0,-1.0,0.9328249841928482,,209.02564027574329,1133364.3334252834,5468.2015254748985,38746.9791898666,6663.61707423974,8011.54249198772,24071.8196236392,29885.3539893146,8861.625200552,633.939879040218,875.2994634355838,3355.35862,13.939200401306152
2184,UK_C&G_C&G_3,UK,C&G,C&G,3,GUM,2015-01-01,0.0,99.30158967514359,99.30158967514359,,,,,,,,,,,,39042.3268505593,8741.435902085508,9525.64896568037,20775.2419827935,31617.7394345573,7424.58741600207,955.4795299999988,729.71824,3279.14799,0.0
2185,UK_C&G_C&G_3,UK,C&G,C&G,3,GUM,2015-02-01,0.0,56.88151281860661,56.88151281860661,,,,,,,,,,,,32622.7430477304,7702.10624243006,7981.975852784391,16938.660952516002,27172.175550815697,5450.567496914729,968.707219999999,713.8548,3283.47062,0.0
2186,UK_C&G_C&G_3,UK,C&G,C&G,3,GUM,2015-03-01,0.0,122.70206581708379,122.70206581708379,,,,,,,,,,,,37066.3584923561,8528.62462578114,9173.95216609562,19363.7817004793,29534.4331679898,7531.92532436625,981.792149999999,698.160119999999,3287.75061,0.0
2187,UK_C&G_C&G_3,UK,C&G,C&G,3,GUM,2015-04-01,0.0,119.04224536904528,119.04224536904528,,,,,,,,,,,,34382.015415391295,7659.8330450147305,8727.83794044919,17994.3444299274,27140.653366047,7241.362049344229,950.675439999999,727.0180799999989,3291.45496,0.0
2188,UK_C&G_C&G_3,UK,C&G,C&G,3,GUM,2015-05-01,0.0,125.42790312977549,125.42790312977549,,,,,,,,,,,,34411.8245172414,7198.01419642975,8837.91571341536,18375.894607396298,27640.4335544311,6771.390962810339,827.6137799999989,847.850239999999,3295.11134,0.0
2189,UK_C&G_C&G_3,UK,C&G,C&G,3,GUM,2015-06-01,0.0,149.13283157315226,149.13283157315226,,,,,,,,,,,,35125.1496740349,7064.93550174134,8978.20836111013,19082.0058111834,28434.8710262746,6690.2786477603,745.29153,928.0112399999988,3298.65579,0.0
2190,UK_C&G_C&G_3,UK,C&G,C&G,3,GUM,2015-07-01,0.0,144.51286683753202,144.51286683753202,,,,,,,,,,,,33896.626559901204,6882.52861715919,8792.59905383538,18221.4988889066,27170.9074319775,6725.71912792369,715.66524,955.4795299999988,3302.19491,0.0
2191,UK_C&G_C&G_3,UK,C&G,C&G,3,GUM,2015-08-01,0.0,160.67979062563575,160.67979062563575,,,,,,,,,,,,36275.243812118395,7153.590151595409,9285.93182750606,19835.721833016898,27861.5397901605,8413.70402195793,700.1073,968.707219999999,3306.01652,0.0
