date,sku,brand,offtake_dc,osa,csl,anp,sellin_dc,sp_inv_dc,sellout,sellout_revenue,sellout_price,store_distribution
8/1/2016,AC4,AC,60684,,,25882.50781,54221,,,,,7492
8/1/2016,NC1,NC,102577,,,10749.77539,106840,,,,,7844
8/1/2016,NC2,NC,119792,,,10749.77539,106966,,,,,7844
8/1/2016,NC3,NC,564775,,,10749.77539,893189,,,,,7844
8/1/2016,NC4,NC,73853,,,10749.77539,45068,,,,,7844
9/1/2016,AC1,AC,115837.75,,,24952.24023,129857,,,,,9322
9/1/2016,AC2,AC,152973.75,,,24952.24023,239216,,,,,9322
9/1/2016,AC3,AC,540588.5,,,24952.24023,723053,,,,,9322
9/1/2016,AC4,AC,58729,,,24952.24023,93682,,,,,9322
9/1/2016,NC1,NC,120205.25,,,24812.38281,165927,,,,,9701
9/1/2016,NC2,NC,143160.5,,,24812.38281,207956,,,,,9701
9/1/2016,NC3,NC,692878,,,24812.38281,711108,,,,,9701
9/1/2016,NC4,NC,78959.25,,,24812.38281,103235,,,,,9701
10/1/2016,AC1,AC,131649.75,,,0,139130,,,,,9029
10/1/2016,AC2,AC,140384,,,0,159414,,,,,9029
10/1/2016,AC3,AC,518636.75,,,0,622914,,,,,9029
10/1/2016,AC4,AC,67689,,,0,102866,,,,,9029
10/1/2016,NC1,NC,128416.75,,,0,182640,,,,,9207
10/1/2016,NC2,NC,139928.5,,,0,161758,,,,,9207
10/1/2016,NC3,NC,623591.5,,,0,618080,,,,,9207
10/1/2016,NC4,NC,84608,,,0,148452,,,,,9207
11/1/2016,AC1,AC,121092.75,,,0,111197,,,,,9625
11/1/2016,AC2,AC,146988,,,0,157218,,,,,9625
11/1/2016,AC3,AC,734028,,,0,527994,,,,,9625
11/1/2016,AC4,AC,102808.25,,,0,70413,,,,,9625
11/1/2016,NC1,NC,138787.25,,,0,123684,,,,,9767
11/1/2016,NC2,NC,152383,,,0,119936,,,,,9767
11/1/2016,NC3,NC,1103149,,,0,769700,,,,,9767
11/1/2016,NC4,NC,152879,,,0,93301,,,,,9767
12/1/2016,AC1,AC,95205.25,,,0,291249,,,,,8038
12/1/2016,AC2,AC,103436,,,0,226105,,,,,8038
12/1/2016,AC3,AC,362576,,,0,811454,,,,,8038
12/1/2016,AC4,AC,57805.75,,,0,91117,,,,,8038
12/1/2016,NC1,NC,92301.75,,,0,250229,,,,,7670
12/1/2016,NC2,NC,85143,,,0,230968,,,,,7670
12/1/2016,NC3,NC,396387,,,0,765226,,,,,7670
12/1/2016,NC4,NC,71083,,,0,102861,,,,,7670
1/1/2017,AC1,AC,181699.5,0.870000005,0.839999974,9058.246094,55788,13961.99903,98698,23929297,372.3910314,10631
1/1/2017,AC2,AC,173097.7422,0.910000026,0.899999976,9058.246094,16541,20198,81099,19729215,364.8322516,10631
1/1/2017,AC3,AC,665104.25,0.930000007,1,9058.246094,266495,107671.9995,387130,76295738,309.0304846,10631
1/1/2017,AC4,AC,85842,0.860000014,1,9058.246094,52519,29958.99789,45749,9180542,245.8242334,10631
1/1/2017,AP1,AP,4440,0.699999988,1,2329.780029,2790,6561,2844,2224242,1423.695652,427
1/1/2017,AP2,AP,4577,0.730000019,1,2329.780029,924,6981,3191,2449374,1014.237288,427
1/1/2017,AP3,AP,8256,0.74000001,1,2329.780029,7416,22561,12126,7705677,1070.230769,427
1/1/2017,AP4,AP,7,,,2329.780029,,,,,,427
1/1/2017,NC1,NC,211959.5,0.920000017,0.980000019,7419.009277,126468,75786.99514,119817,24120332,322.637422,10784
1/1/2017,NC2,NC,171749.25,0.920000017,1,7419.009277,95863,90596.99591,82472,15868372,274.0191348,10784
1/1/2017,NC3,NC,760491.5938,0.930000007,1,7419.009277,430489,232769.994,425393,68047948,247.42864,10784
1/1/2017,NC4,NC,117637.5,0.860000014,1,7419.009277,72586,34051.99803,56265,9606688,204.4321543,10784
2/1/2017,AC1,AC,144708.75,0.769999981,0.790000021,8508.311523,146226,13294,46081,13745604,412.7553594,9510
2/1/2017,AC2,AC,151476.25,0.839999974,0.730000019,8508.311523,144681,18829.99901,55540,13870399,370.8056931,9510
2/1/2017,AC3,AC,409716.75,0.930000007,1,8508.311523,416430,188905,150109,33087103,296.8612811,9510
2/1/2017,AC4,AC,59760.5,0.870000005,1,8508.311523,56062,19377,22367,4932440,236.6066746,9510
2/1/2017,AP1,AP,10927,0.810000002,1,2000.614014,18300,6215,8195,3746579,830.8839286,669
2/1/2017,AP2,AP,10434,0.810000002,1,2000.614014,12408,4959,6579,2832627,744.877551,669
2/1/2017,AP3,AP,18600.5,0.850000024,1,2000.614014,26310,29385,9409,2887128,453.1477273,669
2/1/2017,AP4,AP,687,,,2000.614014,8844,2910,1104,1237659,6230.142857,669
2/1/2017,NC1,NC,163437.5,0.910000026,0.779999971,5285.23877,116765,37874.996,65757,12897728,305.6656217,9768
2/1/2017,NC2,NC,189936.5,0.930000007,0.980000019,5285.23877,226216,92459.99799,100059,19753943,298.7007201,9768
2/1/2017,NC3,NC,465748.5,0.930000007,1,5285.23877,417884,276873.996,175495,29045272,229.8849325,9768
2/1/2017,NC4,NC,84046.5,0.870000005,1,5285.23877,113336,50255,29966,5880259,210.5885262,9768
3/1/2017,AC1,AC,176248,0.779999971,0.75999999,10623.00391,197981,13321.99899,81262,20015998,377.1191901,11008
3/1/2017,AC2,AC,165607.75,0.829999983,0.949999988,10623.00391,173414,17182.99878,74607,17991624,325.8955286,11008
3/1/2017,AC3,AC,705169.7188,0.930000007,0.970000029,10623.00391,679423,227227.0002,340841,66625859,286.0853981,11008
3/1/2017,AC4,AC,94806.5,0.860000014,0.75,10623.00391,84271,24514.99902,32228,6667588,233.4100895,11008
3/1/2017,AP1,AP,19738,0.860000014,0.769999981,4491.056152,25170,4359,11189,4691139,594.5706667,1888
3/1/2017,AP2,AP,22125,0.850000024,0.810000002,4491.056152,23899,4513,11168,4885316,597.0403226,1888
3/1/2017,AP3,AP,44566.5,0.899999976,0.930000007,4491.056152,50300,28185,26453,9744166,546.3779385,1888
3/1/2017,AP4,AP,4927.5,,,4491.056152,17520,7400,4819,1784313,641.1136364,1888
3/1/2017,NC1,NC,150966,0.910000026,0.75,11268.03613,176221,63921.99448,62554,12898057,284.1077605,11248
3/1/2017,NC2,NC,166283.8828,0.920000017,1,11268.03613,155143,70164.99641,77991,14364813,251.1704415,11248
3/1/2017,NC3,NC,869797.25,0.930000007,1,11268.03613,669834,148785.995,393871,63565167,247.7170189,11248
3/1/2017,NC4,NC,137410.5,0.870000005,1,11268.03613,116166,33871.99843,44226,7526024,204.9409499,11248
4/1/2017,AC1,AC,159895,0.790000021,0.99000001,7533.561035,176832,13166.51397,76851,19595109,396.2567694,10635
4/1/2017,AC2,AC,190119,0.800000012,0.959999979,7533.561035,217722,14685.72902,87793,21640563,379.3676962,10635
4/1/2017,AC3,AC,497486.25,0.920000017,1,7533.561035,556944,245543.9316,216795,44554799,312.7620492,10635
4/1/2017,AC4,AC,57272.75,0.829999983,0.49000001,7533.561035,12000,11942.83203,6403,1370053,217.6536503,10635
4/1/2017,AP1,AP,18977.25,0.769999981,0.800000012,30078.14648,12480,1377.773989,4708,2520703,574.8090909,2343
4/1/2017,AP2,AP,24227.25,0.779999971,0.949999988,30078.14648,38958,7242.104874,15760,6087700,583.7208672,2343
4/1/2017,AP3,AP,49675.75,0.889999986,1,30078.14648,69798,21170.72992,35097,12930550,504.8003273,2343
4/1/2017,AP4,AP,6311,,,30078.14648,11976,6725.913025,5362,1916900,555.6176471,2343
4/1/2017,NC1,NC,191906,0.899999976,0.99000001,8785.274414,201744,61966.43896,87837,19489028,352.3377351,10906
4/1/2017,NC2,NC,192299.25,0.910000026,0.980000019,8785.274414,183168,51896.2417,96967,17891297,283.0324364,10906
4/1/2017,NC3,NC,612017.25,0.920000017,1,8785.274414,699078,214097.0498,268311,44675346,264.0893524,10906
4/1/2017,NC4,NC,96709.5,0.850000024,0.99000001,8785.274414,79812,28647.71188,22139,3724384,196.257889,10906
5/1/2017,AC1,AC,124899.5,0.810000002,0.540000021,9654.65332,111175,17342.99796,39306,9916921,379.275154,11085
5/1/2017,AC2,AC,172501.2344,0.790000021,0.790000021,9654.65332,191575,48605.99756,61148,15192197,363.4473544,11085
5/1/2017,AC3,AC,703026.9688,0.949999988,1,9654.65332,693597,186965.9966,349364,68074543,302.0669445,11085
5/1/2017,AC4,AC,84333.5,0.800000012,0.819999993,9654.65332,123048,13468.99887,27206,6588466,258.4192229,11085
5/1/2017,AP1,AP,20066.5,0.620000005,0.639999986,20279.44727,11748,782.9970131,2463,1666853,625.1641791,2691
5/1/2017,AP2,AP,32166.75,0.819999993,0.99000001,20279.44727,22836,2354.997997,10791,5285854,625.3793103,2691
5/1/2017,AP3,AP,65940.5,0.920000017,1,20279.44727,87252,28947.99786,33051,12333043,477.5426009,2691
5/1/2017,AP4,AP,8644.25,,,20279.44727,9384,4073.997993,4038,1652726,590.7115385,2691
5/1/2017,NC1,NC,153415.7188,0.920000017,0.949999988,17157.62109,116468,17887.9967,53508,11203917,306.9520581,11755
5/1/2017,NC2,NC,180176.0234,0.920000017,0.930000007,17157.62109,167994,41686.99878,76236,15061561,285.479955,11755
5/1/2017,NC3,NC,817506.7188,0.949999988,1,17157.62109,836609,174014.9971,363879,60035723,269.6298077,11755
5/1/2017,NC4,NC,120015.25,0.829999983,0.870000005,17157.62109,102311,21548.99829,19312,3600603,208.9266896,11755
6/1/2017,AC1,AC,159720.25,0.829999983,0.99000001,15191.67871,214723,24355,92138,23624846,406.364094,11547
6/1/2017,AC2,AC,214769,0.779999971,0.970000029,15191.67871,167463,11979,82028,20464171,371.3937102,11547
6/1/2017,AC3,AC,763878.2188,0.930000007,1,15191.67871,442655,56994,259041,52288950,281.6280817,11547
6/1/2017,AC4,AC,110820.5,0.779999971,0.959999979,15191.67871,89226,17169,26659,6335644,247.2644398,11547
6/1/2017,AP1,AP,22264.5,0.560000002,0.970000029,11299.93457,54007,6900,21372,9213853,578.3726415,3273
6/1/2017,AP2,AP,31196,0.629999995,0.889999986,11299.93457,29214,1792,12033,5256712,514.2442997,3273
6/1/2017,AP3,AP,87952.25,0.920000017,1,11299.93457,83774,20262,41217,14225622,457.3121577,3273
6/1/2017,AP4,AP,12320.5,,,11299.93457,21750,7620,8136,2792642,545.1910112,3273
6/1/2017,NC1,NC,108932.2422,0.889999986,0.99000001,27158.74609,130501,41123,54916,11402985,319.3867463,11547
6/1/2017,NC2,NC,202828.6406,0.899999976,1,27158.74609,180778,27965,88576,17480484,286.7661642,11547
6/1/2017,NC3,NC,798371.3125,0.930000007,0.99000001,27158.74609,502741,49609,275861,46142516,242.8115617,11547
6/1/2017,NC4,NC,130934.75,0.790000021,0.889999986,27158.74609,109494,10670,33555,5846446,201.9006574,11547
7/1/2017,AC1,AC,196540.25,0.889999986,1,16273.25781,266390,43016,125511,30354618,417.8677686,12086
7/1/2017,AC2,AC,232399.25,0.829999983,0.910000026,16273.25781,284433,16886.20001,125376,31271232,430.0889548,12086
7/1/2017,AC3,AC,568139.5,0.920000017,1,16273.25781,569419,59443,240090,50286840,301.4274809,12086
7/1/2017,AC4,AC,77865,0.790000021,1,16273.25781,97000,26793,23960,5342949,267.7954723,12086
7/1/2017,AP1,AP,25586,0.730000019,0.850000024,3196.993408,23940,4469,9616,4349048,500.0915751,3229
7/1/2017,AP2,AP,32506.75,0.519999981,0.569999993,3196.993408,13158,920,4125,1911100,579.1372549,3229
7/1/2017,AP3,AP,89963.75,0.920000017,1,3196.993408,82344,15972,37006,13007000,462.815445,3229
7/1/2017,AP4,AP,12163,,,3196.993408,11352,6058,5308,1916156,516.1104651,3229
7/1/2017,NC1,NC,129972.1797,0.899999976,1,16648.43359,107983,30738,62800,13094910,314.3930443,11561
7/1/2017,NC2,NC,198993.7813,0.889999986,0.99000001,16648.43359,184726,23644,89345,17051143,294.80681,11561
7/1/2017,NC3,NC,656721.25,0.920000017,1,16648.43359,694936,66475,237908,42856774,271.9576248,11561
7/1/2017,NC4,NC,101350.75,0.779999971,0.970000029,16648.43359,82631,10091,14284,2973837,241.9940547,11561
8/1/2017,AC1,AC,149731.7031,0.899999976,1,34999.57813,178758,75747,95723,22640977,357.1799047,12198
8/1/2017,AC2,AC,207116.9688,0.899999976,0.959999979,34999.57813,202700,5228.999016,127426,29690312,387.2059714,12198
8/1/2017,AC3,AC,749395.625,0.889999986,1,34999.57813,828175,64552,559396,111331530,329.6886859,12198
8/1/2017,AC4,AC,106699.0508,0.889999986,0.970000029,34999.57813,125613,16197,88353,16889436,283.4936261,12198
8/1/2017,AP1,AP,31447.99023,0.879999995,0.920000017,6109.53125,66810,13528,38158,13555723,547.1379704,4301
8/1/2017,AP2,AP,42005.61914,0.870000005,0.970000029,6109.53125,65634,3075,39248,13907522,562.2688971,4301
8/1/2017,AP3,AP,106609.6797,0.899999976,1,6109.53125,113010,17540,74436,22775703,442.8342246,4301
8/1/2017,AP4,AP,14517.25,,,6109.53125,11220,3591,9838,2838769,373.9351852,4301
8/1/2017,NC1,NC,152576.5354,0.899999976,1,28527.02344,178529,53394,103087,21130602,351.7821739,12281
8/1/2017,NC2,NC,194911.7031,0.889999986,0.959999979,28527.02344,162018,7772,110095,19739125,278.0217129,12281
8/1/2017,NC3,NC,805845.0938,0.889999986,1,28527.02344,873658,72861,624754,103038251,275.7390306,12281
8/1/2017,NC4,NC,134902.8281,0.889999986,0.980000019,28527.02344,165428,14664,108891,17686042,257.1675359,12281
9/1/2017,AC1,AC,147125.5,0.930000007,1,44566.92578,124006,66262,87453,19710438,337.1370864,12504
9/1/2017,AC2,AC,206977.75,0.850000024,0.939999998,44566.92578,193877,4626.999012,116932,27870774,408.1793505,12504
9/1/2017,AC3,AC,879025.5,0.930000007,0.949999988,44566.92578,826568,52681,585532,116278206,314.0351482,12504
9/1/2017,AC4,AC,109861.75,0.819999993,0.75999999,44566.92578,125580,15301,72334,14531870,278.3220199,12504
9/1/2017,AP1,AP,37181.25,0.879999995,0.99000001,7681.13623,63648,27712,30618,10112225,457.4406977,4675
9/1/2017,AP2,AP,50360.25,0.769999981,0.99000001,7681.13623,106452,22819,48274,18143174,499.4967603,4675
9/1/2017,AP3,AP,130202.75,0.920000017,0.899999976,7681.13623,167802,32293,94091,31357353,482.1447154,4675
9/1/2017,AP4,AP,15736,0.810000002,0.75999999,7681.13623,21576,7837,11293,3409472,445.7530364,4675
9/1/2017,NC1,NC,128998.25,0.939999998,1,41781.4375,141140,50870,91982,18278688,324.9367553,13296
9/1/2017,NC2,NC,255174.5,0.920000017,1,41781.4375,342010,22987,189959,35753188,325.0407779,13296
9/1/2017,NC3,NC,954379,0.939999998,1,41781.4375,1153366,184443,675174,115172325,281.2163603,13296
9/1/2017,NC4,NC,136190,0.810000002,0.99000001,41781.4375,165144,30087,89537,15077930,231.1546392,13296
10/1/2017,AC1,AC,143698.5,0.930000007,0.99000001,47449.99609,126065,82174,72518,17030383,347.4200201,11309
10/1/2017,AC2,AC,194233.75,0.779999971,0.980000019,47449.99609,133948,11618.99895,90576,20578189,387.46875,11309
10/1/2017,AC3,AC,723065,0.889999986,0.99000001,47449.99609,797207,122088,534611,105740793,329.5363357,11309
10/1/2017,AC4,AC,97875.25,0.790000021,0.870000005,47449.99609,82931,28209,47845,9991530,305.6154721,11309
10/1/2017,AP1,AP,41204.25,0.879999995,1,8676.533203,38413,34063,22713,7460274,450.9338843,4553
10/1/2017,AP2,AP,56820.5,0.779999971,0.970000029,8676.533203,68568,20777,51920,16590797,451.0057208,4553
10/1/2017,AP3,AP,137591.5,0.860000014,0.99000001,8676.533203,121746,43371,78800,24020898,426.1223022,4553
10/1/2017,AP4,AP,15671,0.75999999,1,8676.533203,13674,8621,11258,3675144,464.5029586,4553
10/1/2017,NC1,NC,119200.5,0.930000007,1,57024.6875,123356,67092,75008,15071684,332.120283,11560
10/1/2017,NC2,NC,225980,0.910000026,1,57024.6875,243724,21918,182245,33026679,303.8389654,11560
10/1/2017,NC3,NC,767959,0.930000007,0.99000001,57024.6875,1006519,243156,726900,118380979,285.423814,11560
10/1/2017,NC4,NC,127901.5,0.800000012,0.980000019,57024.6875,155088,64564,88357,14536287,256.3898488,11560
11/1/2017,AC1,AC,139003.7871,0.921999991,1,34338.44141,82077,63401,71369,17412992,331.4037037,10468
11/1/2017,AC2,AC,153067.7813,0.720000029,0.959999979,34338.44141,92496,5237.999012,80828,17385476,358.6525285,10468
11/1/2017,AC3,AC,803992.0313,0.860000014,0.99000001,34338.44141,396579,25240,467255,84773538,298.68,10468
11/1/2017,AC4,AC,122684.4727,0.75,0.899999976,34338.44141,50346,7614,65429,11794392,230.8866242,10468
11/1/2017,AP1,AP,42003.25,0.889999986,0.99000001,6264.062988,30666,25381,26518,9824522,437.804878,5287
11/1/2017,AP2,AP,62171.25,0.819999993,0.980000019,6264.062988,51816,17534,37437,12697394,454.6435986,5287
11/1/2017,AP3,AP,200243.25,0.860000014,0.980000019,6264.062988,181316,22273,156167,48480094,453.3790022,5287
11/1/2017,AP4,AP,26665.5,0.75,1,6264.062988,20730,4469,18010,5429129,432.2866894,5287
11/1/2017,NC1,NC,113686.7109,0.930000007,0.99000001,43474.51563,63458,54183,54160,11741537,318.4604135,12269
11/1/2017,NC2,NC,216349.6641,0.910000026,0.930000007,43474.51563,208898,37883,157766,26734219,278.7852734,12269
11/1/2017,NC3,NC,1295767.406,0.930000007,0.99000001,43474.51563,654688,68102,792242,123132511,246.6480813,12269
11/1/2017,NC4,NC,236177.8047,0.779999971,0.99000001,43474.51563,120865,18924,176068,27325990,236.6619273,12269
12/1/2017,AC1,AC,141914.5,0.920000017,0.99000001,29860.33984,103866,20729,54251,12937350,325.0397022,11499
12/1/2017,AC2,AC,197637.5,0.800000012,0.980000019,29860.33984,267974,16418.99901,173961,39561960,395.7440302,11499
12/1/2017,AC3,AC,701174.5,0.860000014,0.99000001,29860.33984,802910,39498,544479,106831787,334.9516386,11499
12/1/2017,AC4,AC,91324.5,0.730000019,0.959999979,29860.33984,114219,8126,81881,16362585,296.8953069,11499
12/1/2017,AP1,AP,45940.75,0.899999976,1,5496.378906,20413,13278,18100,5571722,370.1008646,4939
12/1/2017,AP2,AP,57448.75,0.860000014,0.949999988,5496.378906,48829,9733,27423,9226443,449.84573,4939
12/1/2017,AP3,AP,186661.5,0.879999995,0.970000029,5496.378906,155676,6880,110114,33280026,406.9939819,4939
12/1/2017,AP4,AP,22545.25,0.699999988,0.899999976,5496.378906,17790,1871,13169,3631292,353,4939
12/1/2017,NC1,NC,116164.5,0.899999976,0.99000001,30138.39648,89561,41925,44566,9079373,289.1157837,10915
12/1/2017,NC2,NC,200960.5,0.860000014,0.99000001,30138.39648,230310,46155,105709,18061656,252.8929552,10915
12/1/2017,NC3,NC,775005,0.879999995,1,30138.39648,775452,52759,422955,67161358,250.202381,10915
12/1/2017,NC4,NC,138307.75,0.730000019,0.970000029,30138.39648,138630,9377,66805,11484639,255.9000917,10915
1/1/2018,AC1,AC,183706,0.959999979,0.99000001,35274.73047,256006,26221,139343,35039824,419.6004422,14657
1/1/2018,AC2,AC,266451,0.910000026,0.99000001,35274.73047,483186,36566,289269,66762572,439.0114679,14657
1/1/2018,AC3,AC,1127053.5,0.910000026,0.970000029,35274.73047,1297116,51807,909521,182122358,336.5842321,14657
1/1/2018,AC4,AC,152936.25,0.790000021,0.970000029,35274.73047,263779,15070,141753,28365235,311.4845245,14657
1/1/2018,AP1,AP,61489,0.910000026,0.970000029,5217.495605,76482,14832,39496,14103542,484.9417863,5800
1/1/2018,AP2,AP,78060.5,0.870000005,0.959999979,5217.495605,109860,12072,57690,20913115,492.0619403,5800
1/1/2018,AP3,AP,188855,0.800000012,0.829999983,5217.495605,149877,2166,106652,31130308,389.4992089,5800
1/1/2018,AP4,AP,23287.75,0.689999998,0.99000001,5217.495605,35912,5364,23079,7216705,440.212766,5800
1/1/2018,NC1,NC,155645,0.959999979,0.980000019,20642.29688,190680,30304,128374,26803289,390.1425719,14581
1/1/2018,NC2,NC,254512.75,0.959999979,0.99000001,20642.29688,348614,66422,278158,48533862,316.9880034,14581
1/1/2018,NC3,NC,1208070,0.949999988,0.99000001,20642.29688,1174461,35546,1022668,171378080,286.0681098,14581
1/1/2018,NC4,NC,192108.25,0.810000002,0.970000029,20642.29688,264607,6945,186979,30906138,246.2110228,14581
2/1/2018,AC1,AC,135048,0.959999979,1,21704.41797,62387,22293,89494,21135807,388.2032086,11806
2/1/2018,AC2,AC,185672.75,0.939999998,0.980000019,21704.41797,98577,27190,120945,28200105,386.490941,11806
2/1/2018,AC3,AC,635365.25,0.939999998,0.99000001,21704.41797,548334,62722,597217,118429287,342.3693837,11806
2/1/2018,AC4,AC,89198.25,0.800000012,0.930000007,21704.41797,43679,24349,66542,14246113,326.7742317,11806
2/1/2018,AP1,AP,46217.75,0.829999983,0.930000007,4603.870605,28363,10462,27246,9693798,484.7118353,4874
2/1/2018,AP2,AP,54924.5,0.779999971,0.920000017,4603.870605,35158,7353,31987,11319403,476.2491639,4874
2/1/2018,AP3,AP,79694.5,0.589999974,0.959999979,4603.870605,49486,7889,69048,22354123,460.0292208,4874
2/1/2018,AP4,AP,14144.5,0.649999976,1,4603.870605,15096,5906,11723,3616490,443.7115385,4874
2/1/2018,NC1,NC,115524,0.959999979,0.939999998,9228.238281,61652,15418,64155,12934437,341.5866237,11456
2/1/2018,NC2,NC,159281.5,0.959999979,0.980000019,9228.238281,30740,53127,74346,14171079,304.65762,11456
2/1/2018,NC3,NC,614687.5,0.939999998,0.99000001,9228.238281,335666,52257,447265,74743483,290.5207627,11456
2/1/2018,NC4,NC,111206.5,0.800000012,0.959999979,9228.238281,103694,19448,78709,13482982,270.5663322,11456
3/1/2018,AC1,AC,168699.791,0.959999979,0.959999979,38443.00781,158722,44510,125573,29713873,394.3795745,13820
3/1/2018,AC2,AC,196525.1594,0.949999988,0.939999998,38443.00781,173548,68783,103121,24869359,379.4558075,13820
3/1/2018,AC3,AC,1014036.096,0.949999988,0.930000007,38443.00781,901654,143240,733117,142203192,329.8056338,13820
3/1/2018,AC4,AC,148652.0274,0.790000021,0.939999998,38443.00781,141967,38011,112632,22403563,296.5332447,13820
3/1/2018,AP1,AP,60064.54,0.839999974,0.930000007,13082.87305,54763,19399,40342,14295798,487.3946188,6328
3/1/2018,AP2,AP,75009.59,0.800000012,0.839999974,13082.87305,83314,13859,66616,21885446,464.696715,6328
3/1/2018,AP3,AP,166650.09,0.600000024,0.899999976,13082.87305,185709,6595,128540,41879492,505.9305963,6328
3/1/2018,AP4,AP,22969,0.680000007,0.819999993,13082.87305,28919,12776,16477,5277508,423.2887324,6328
3/1/2018,NC1,NC,149016.766,0.959999979,0.939999998,29846.5918,160367,41329,123567,25677428,402.6468599,14073
3/1/2018,NC2,NC,173494.7586,0.959999979,0.75,29846.5918,156520,52867,100025,18452108,306.4339711,14073
3/1/2018,NC3,NC,1097904.96,0.949999988,0.959999979,29846.5918,1308091,119808,958432,155805523,282.7230668,14073
3/1/2018,NC4,NC,190088.3159,0.779999971,0.959999979,29846.5918,128621,27087,170008,27551735,246.5538832,14073
4/1/2018,AC1,AC,150942.3103,0.959999979,0.99000001,30106.20703,167640,73244,106815,26844718,406.3888368,13248
4/1/2018,AC2,AC,195609.9849,0.939999998,0.980000019,30106.20703,172823,80386,134319,33327078,403.8455685,13248
4/1/2018,AC3,AC,811646.9806,0.949999988,0.99000001,30106.20703,1016271,408362,675362,135864408,361.8555462,13248
