Brand,Brand_acc,,Tier,Tier_acc,,Stage,Stage_acc,,Package,Package_acc,,SKU_wo_pkg,Stage_text,,SKU_std,Format (g),,,SKU_std,SKU_wo_pkg,Scope,,SKU_std,SKU_wo_pkg,Scope,SKU_std,SKU_wo_pkg,SKU No
,,,,,,,,,,,,NL_NC_PN_4,FO,,NL_NC_PN_EZP_1,850,,,UK_APT_PF_JB_3,UK_APT_PF_3,EIB,,,,,DE_APT_PN_JB_PRE,DE_APT_PN_PRE,609649
,,,,,,,,,,,,NL_NC_PN_5,GUM,,NL_NC_PN_EZP_1,800,,,UK_APT_PN_EZP_1,UK_APT_PN_1,EIB,,,,,DE_APT_PN_JB_1,DE_APT_PN_1,609650
,,,,,,,,,,,,NL_NC_PN_6,GUM,,NL_NC_PN_EZP_2,850,,,UK_APT_PN_EZP_2,UK_APT_PN_2,EIB,,,,,DE_APT_PN_JB_2,DE_APT_PN_2,609661
,,,,,,,,,,,,UK_APT_PF_1,IF,,NL_NC_PN_EZP_2,800,,,UK_APT_PN_EZP_3,UK_APT_PN_3,EIB,,,,,DE_APT_PN_JB_3,DE_APT_PN_3,609663
,,,,,,,,,,,,UK_APT_PF_2,FO,,NL_NC_PN_EZP_3,800,,,UK_APT_PN_EZP_4,UK_APT_PN_4,EIB,,,,,NL_NC_PN_EZP_1,NL_NC_PN_1,612402
,,,,,,,,,,,,UK_APT_PF_3,GUM,,NL_NC_PN_EZP_4,800,,,UK_APT_PN_EZP_5,UK_APT_PN_5,EIB,,,,,NL_NC_PN_JB_1,NL_NC_PN_1,612402
,,,,,,,,,,,,UK_APT_PN_1,IF,,NL_NC_PN_EZP_5,800,,,UK_C&G_C&G_EZP_1,UK_C&G_C&G_1,EIB,,,,,NL_NC_PN_EZP_2,NL_NC_PN_2,612403
,,,,,,,,,,,,UK_APT_PN_2,FO,,NL_NC_PN_EZP_6,400,,,UK_C&G_C&G_EZP_2,UK_C&G_C&G_2,EIB,,,,,NL_NC_PN_JB_2,NL_NC_PN_2,612403
,,,,,,,,,,,,UK_APT_PN_3,GUM,,NL_NC_PN_JB_1,800,,,UK_C&G_C&G_EZP_3,UK_C&G_C&G_3,EIB,,,,,NL_NC_PN_EZP_3,NL_NC_PN_3,612404
,,,,,,,,,,,,UK_APT_PN_4,GUM,,NL_NC_PN_JB_2,800,,,UK_C&G_C&G_EZP_4,UK_C&G_C&G_4,EIB,,,,,NL_NC_PN_JB_3,NL_NC_PN_3,612404
,,,,,,,,,,,,UK_APT_PN_5,GUM,,NL_NC_PN_JB_3,800,,,UK_C&G_C&G_EZP_5,UK_C&G_C&G_5,EIB,,,,,NL_NC_PN_EZP_4,NL_NC_PN_4,612405
,,,,,,,,,,,,UK_C&G_C&G_1,IF,,NL_NC_PN_JB_4,800,,,,,,,,,,NL_NC_PN_JB_4,NL_NC_PN_4,612405
,,,,,,,,,,,,UK_C&G_C&G_2,FO,,NL_NC_PN_JB_5,800,,,,,,,,,,NL_NC_PN_EZP_5,NL_NC_PN_5,612406
,,,,,,,,,,,,UK_C&G_C&G_3,GUM,,UK_APT_PF_JB_1,800,,,,,,,,,,NL_NC_PN_JB_5,NL_NC_PN_5,612406
,,,,,,,,,,,,UK_C&G_C&G_4,GUM,,UK_APT_PF_JB_2,800,,,,,,,,,,DE_APT_PN_JB_4,DE_APT_PN_4,615865
,,,,,,,,,,,,UK_C&G_C&G_5,GUM,,UK_APT_PF_JB_3,800,,,,,,,,,,DE_APT_PN_JB_5,DE_APT_PN_5,615867
,,,,,,,,,,,,,,,UK_APT_PN_EZP_1,900,,,,,,,,,,DE_APT_PF_JB_PRE,DE_APT_PF_PRE,623295
,,,,,,,,,,,,,,,UK_APT_PN_EZP_2,900,,,,,,,,,,DE_APT_PF_JB_1,DE_APT_PF_1,623296
,,,,,,,,,,,,,,,UK_APT_PN_EZP_3,900,,,,,,,,,,DE_APT_PF_JB_2,DE_APT_PF_2,623297
,,,,,,,,,,,,,,,UK_APT_PN_EZP_4,800,,,,,,,,,,UK_APT_PN_EZP_1,UK_APT_PN_1,623548
,,,,,,,,,,,,,,,UK_APT_PN_EZP_5,900,,,,,,,,,,UK_C&G_C&G_EZP_1,UK_C&G_C&G_1,623549
,,,,,,,,,,,,,,,UK_C&G_C&G_EZP_1,900,,,,,,,,,,UK_C&G_C&G_EZP_2,UK_C&G_C&G_2,623550
,,,,,,,,,,,,,,,UK_C&G_C&G_EZP_2,900,,,,,,,,,,UK_C&G_C&G_EZP_4,UK_C&G_C&G_4,623552
,,,,,,,,,,,,,,,UK_C&G_C&G_EZP_3,900,,,,,,,,,,UK_APT_PN_EZP_2,UK_APT_PN_2,623553
,,,,,,,,,,,,,,,UK_C&G_C&G_EZP_4,800,,,,,,,,,,UK_APT_PN_EZP_4,UK_APT_PN_4,623554
,,,,,,,,,,,,,,,UK_C&G_C&G_EZP_4,900,,,,,,,,,,UK_C&G_C&G_EZP_3,UK_C&G_C&G_3,623556
,,,,,,,,,,,,,,,UK_C&G_C&G_EZP_5,900,,,,,,,,,,UK_APT_PN_EZP_3,UK_APT_PN_3,623557
,,,,,,,,,,,,,,,,,,,,,,,,,,DE_APT_PN_EZP_PRE,DE_APT_PN_PRE,624122
,,,,,,,,,,,,,,,,,,,,,,,,,,DE_APT_PN_EZP_1,DE_APT_PN_1,624125
,,,,,,,,,,,,,,,,,,,,,,,,,,DE_APT_PN_EZP_2,DE_APT_PN_2,624127
,,,,,,,,,,,,,,,,,,,,,,,,,,DE_APT_PN_EZP_3,DE_APT_PN_3,624128
,,,,,,,,,,,,,,,,,,,,,,,,,,UK_APT_PF_JB_1,UK_APT_PF_1,106924
,,,,,,,,,,,,,,,,,,,,,,,,,,UK_APT_PF_JB_2,UK_APT_PF_2,106925
,,,,,,,,,,,,,,,,,,,,,,,,,,UK_APT_PF_JB_3,UK_APT_PF_3,106926
,,,,,,,,,,,,,,,,,,,,,,,,,,ANZ_KC_PL_CAN_1,ANZ_KC_PL_1,109328
,,,,,,,,,,,,,,,,,,,,,,,,,,ANZ_KC_PL_CAN_2,ANZ_KC_PL_2,109330
,,,,,,,,,,,,,,,,,,,,,,,,,,ANZ_KC_GD_CAN_3,ANZ_KC_GD_3,109332
,,,,,,,,,,,,,,,,,,,,,,,,,,ANZ_KC_GD_CAN_1,ANZ_KC_GD_1,109334
,,,,,,,,,,,,,,,,,,,,,,,,,,ANZ_KC_GD_CAN_2,ANZ_KC_GD_2,109335
,,,,,,,,,,,,,,,,,,,,,,,,,,ANZ_KC_PL_CAN_3,ANZ_KC_PL_3,109339
,,,,,,,,,,,,,,,,,,,,,,,,,,ANZ_KC_PL_CAN_4,ANZ_KC_PL_4,109340
,,,,,,,,,,,,,,,,,,,,,,,,,,ANZ_KC_GT_CAN_1,ANZ_KC_GT_1,109352
,,,,,,,,,,,,,,,,,,,,,,,,,,ANZ_KC_GT_CAN_2,ANZ_KC_GT_2,109353
,,,,,,,,,,,,,,,,,,,,,,,,,,ANZ_KC_GT_CAN_3,ANZ_KC_GT_3,109354
,,,,,,,,,,,,,,,,,,,,,,,,,,ANZ_KC_GD_CAN_4,ANZ_KC_GD_4,109358
,,,,,,,,,,,,,,,,,,,,,,,,,,ANZ_APT_PF_CAN_1,ANZ_APT_PF_1,109365
,,,,,,,,,,,,,,,,,,,,,,,,,,ANZ_APT_PF_CAN_2,ANZ_APT_PF_2,109366
,,,,,,,,,,,,,,,,,,,,,,,,,,ANZ_APT_PN_CAN_2,ANZ_APT_PN_2,109366
,,,,,,,,,,,,,,,,,,,,,,,,,,ANZ_APT_PF_CAN_3,ANZ_APT_PF_3,109367
,,,,,,,,,,,,,,,,,,,,,,,,,,ANZ_APT_PN_CAN_3,ANZ_APT_PN_3,109367
,,,,,,,,,,,,,,,,,,,,,,,,,,ANZ_APT_PF_CAN_4,ANZ_APT_PF_4,109368
,,,,,,,,,,,,,,,,,,,,,,,,,,ANZ_APT_PN_CAN_4,ANZ_APT_PN_4,109369
,,,,,,,,,,,,,,,,,,,,,,,,,,ANZ_APT_PN_CAN_1,ANZ_APT_PN_1,109371
,,,,,,,,,,,,,,,,,,,,,,,,,,UK_C&G_C&G_EZP_2,UK_C&G_C&G_2,57792
,,,,,,,,,,,,,,,,,,,,,,,,,,UK_C&G_C&G_EZP_5,UK_C&G_C&G_5,57801
,,,,,,,,,,,,,,,,,,,,,,,,,,UK_C&G_C&G_EZP_1,UK_C&G_C&G_1,79219
,,,,,,,,,,,,,,,,,,,,,,,,,,UK_APT_PN_EZP_5,UK_APT_PN_5,79222
,,,,,,,,,,,,,,,,,,,,,,,,,,UK_APT_PN_EZP_1,UK_APT_PN_1,79224
,,,,,,,,,,,,,,,,,,,,,,,,,,UK_APT_PN_EZP_2,UK_APT_PN_2,79459
,,,,,,,,,,,,,,,,,,,,,,,,,,UK_C&G_C&G_EZP_3,UK_C&G_C&G_3,80653
,,,,,,,,,,,,,,,,,,,,,,,,,,UK_C&G_C&G_EZP_4,UK_C&G_C&G_4,85922
,,,,,,,,,,,,,,,,,,,,,,,,,,UK_APT_PN_EZP_3,UK_APT_PN_3,90337
,,,,,,,,,,,,,,,,,,,,,,,,,,UK_APT_PN_EZP_4,UK_APT_PN_4,90349
,,,,,,,,,,,,,,,,,,,,,,,,,,DE_APT_PN_BIB_4,DE_APT_PN_4,
,,,,,,,,,,,,,,,,,,,,,,,,,,DE_APT_PN_BIB_5,DE_APT_PN_5,
