SKU,Country,Tier,Package,Stage,Country_acc,Brand_acc,Tier_acc,Stage_acc,Package_acc,SKU_std,Format (g),SKU_wo_pkg,check_IL_offtake_std,check_IL_offtake_wo_pkg,check_IL_sellin_std,check_IL_sellin_wo_pkg,Is_Mature
Karicare Sheep 2,ANZ,Karicare,Sheep,2,ANZ,Karicare,Sheep,2,CAN,,,ANZ_Karicare_Sheep_2,,,,,FALSE
Karicare Sheep 3,ANZ,Karicare,Sheep,3,ANZ,Karicare,Sheep,3,CAN,,,ANZ_Karicare_Sheep_3,,,,,FALSE
C&G A2 1,HK,C&G,A2,1,HK,C&G,A2,1,CAN,,,HK_C&G_A2_1,,,,,FALSE
C&G A2 2,HK,C&G,A2,2,HK,C&G,A2,2,CAN,,,HK_C&G_A2_2,,,,,FALSE
C&G A2 3,HK,C&G,A2,3,HK,C&G,A2,3,CAN,,,HK_C&G_A2_3,,,,,FALSE
C&G A2 4,HK,C&G,A2,4,HK,C&G,A2,4,CAN,,,HK_C&G_A2_4,,,,,FALSE
C&G Hulk 1,HK,C&G,Hulk,1,HK,C&G,Hulk,1,CAN,,,HK_C&G_Hulk_1,,,,,FALSE
C&G Hulk 2,HK,C&G,Hulk,2,HK,C&G,Hulk,2,CAN,,,HK_C&G_Hulk_2,,,,,FALSE
C&G Hulk 3,HK,C&G,Hulk,3,HK,C&G,Hulk,3,CAN,,,HK_C&G_Hulk_3,,,,,FALSE
C&G Hulk 4,HK,C&G,Hulk,4,HK,C&G,Hulk,4,CAN,,,HK_C&G_Hulk_4,,,,,FALSE
UK Sensavia 1,UK,APT,Sensavia,1,UK,APT,Sensavia,1,JB,,,UK_APT_Sensavia_1,,,,,FALSE
UK Sensavia 2,UK,APT,Sensavia,2,UK,APT,Sensavia,2,JB,,,UK_APT_Sensavia_2,,,,,FALSE
UK Sensavia 3,UK,APT,Sensavia,3,UK,APT,Sensavia,3,JB,,,UK_APT_Sensavia_3,,,,,FALSE
UK Sensavia,UK,APT,Sensavia,4,UK,APT,Sensavia,4,JB,,,UK_APT_Sensavia_4,,,,,FALSE
AT EZP 1+,AT,APT,PN,1+,AT,APT,PN,1+,EZP,,,AT_APT_PN_1+,,,,,FALSE
AT EZP 2+,AT,APT,PN,2+,AT,APT,PN,2+,EZP,,,AT_APT_PN_2+,,,,,FALSE
