Country_acc,Brand_acc,Tier_acc,Stage_acc,Package_acc,SKU_std,SKU_wo_pkg,Stage_3F,SKU_No,From_DI,Frome_EIB
UK,APT,PN,1,,UK_APT_PN__1,UK_APT_PN_1,IF,,FALSE,FALSE
ANZ,KC,GT,,CAN,ANZ_KC_GT_CAN_,ANZ_KC_GT_,GUM,109352,FALSE,TRUE
UK,APT,PN,2,,UK_APT_PN__2,UK_APT_PN_2,FO,,FALSE,FALSE
ANZ,KC,PL,2,CAN,ANZ_KC_PL_CAN_2,ANZ_KC_PL_2,FO,109330,FALSE,TRUE
UK,APT,PN,3,,UK_APT_PN__3,UK_APT_PN_3,GUM,,FALSE,FALSE
ANZ,KC,PL,4,CAN,ANZ_KC_PL_CAN_4,ANZ_KC_PL_4,GUM,109340,FALSE,TRUE
UK,APT,PN,4,,UK_APT_PN__4,UK_APT_PN_4,GUM,,FALSE,FALSE
DE,APT,PN,PEP,CAN,DE_APT_PN_CAN_PEP,DE_APT_PN_PEP,TN,56798,FALSE,TRUE
DE,APT,PN,PREA,CAN,DE_APT_PN_CAN_PREA,DE_APT_PN_PREA,TN,67553,FALSE,TRUE
DE,APT,PN,PREG,CAN,DE_APT_PN_CAN_PREG,DE_APT_PN_PREG,TN,56797,FALSE,TRUE
NL,NC,PN,6,EZP,NL_NC_PN_EZP_6,NL_NC_PN_6,GUM,93911,FALSE,TRUE
UK,C&G,C&G,1,EZP,UK_C&G_C&G_EZP_1,UK_C&G_C&G_1,IF,623549,TRUE,TRUE
UK,C&G,C&G,2,EZP,UK_C&G_C&G_EZP_2,UK_C&G_C&G_2,FO,623550,TRUE,TRUE
UK,C&G,C&G,3,EZP,UK_C&G_C&G_EZP_3,UK_C&G_C&G_3,GUM,623556,TRUE,TRUE
UK,C&G,C&G,4,EZP,UK_C&G_C&G_EZP_4,UK_C&G_C&G_4,GUM,623552,TRUE,TRUE
UK,APT,PN,5,EZP,UK_APT_PN_EZP_5,UK_APT_PN_5,GUM,79222,FALSE,TRUE
