Unnamed: 0_x,sku_wo_pkg,date,horizon,date_when_predicting_x,yhat_di_calib,Unnamed: 0_y,date_when_predicting_y,yhat_eib_calib,Unnamed: 0,date_when_predicting,yhat_il_calib,fold,target_di,target_eib,target_il
38595,UK_APT_PF_3,2018-05-01,2,201803,0.0,73,201803,62.40569630099938,73,201803,62.40569630099938,-1,0.0,85.70258212,85.70258212
38598,UK_APT_PN_1,2018-05-01,2,201803,17.01585578918457,74,201803,19.86724801441175,74,201803,36.88310380359632,-1,11.8413,13.36678141,25.20808141
38601,UK_APT_PN_2,2018-05-01,2,201803,21.58755874633789,75,201803,21.64325993814318,75,201803,43.230818684481065,-1,19.8333,12.09380006,31.92710006
38604,UK_APT_PN_3,2018-05-01,2,201803,103.79135131835938,76,201803,42.764194965976564,76,201803,146.55554628433597,-1,51.0885,48.68224164,99.77074164
38607,UK_APT_PN_4,2018-05-01,2,201803,29.86007308959961,77,201803,19.5085983981696,77,201803,49.36867148776921,-1,18.9792,55.36249095,74.34169095
38610,UK_C&G_C&G_1,2018-05-01,2,201803,15.231276512145994,78,201803,18.113157345702678,78,201803,33.34443385784867,-1,11.8755,31.78301171,43.65851171
38613,UK_C&G_C&G_2,2018-05-01,2,201803,18.82766342163086,79,201803,15.686278712917414,79,201803,34.513942134548266,-1,13.5693,29.62320411,43.19250411
38616,UK_C&G_C&G_3,2018-05-01,2,201803,114.1520767211914,80,201803,42.947995529433406,80,201803,157.1000722506248,-1,44.4159,54.36814319,98.78404319
38619,UK_C&G_C&G_4,2018-05-01,2,201803,21.378070831298828,81,201803,21.947567727485207,81,201803,43.325638558784036,-1,21.5168,52.56150623,74.07830623
38622,ANZ_APT_PF_1,2018-06-01,3,201803,24.176795959472656,82,201803,59.771791276707404,82,201803,83.94858723618006,-1,16.2531,53.50058129,69.75368129
38625,ANZ_APT_PF_2,2018-06-01,3,201803,32.763858795166016,83,201803,66.91497398087725,83,201803,99.67883277604328,-1,50.6142,60.62165609,111.23585609999999
38628,ANZ_APT_PF_3,2018-06-01,3,201803,138.18705749511722,84,201803,163.77484141460297,84,201803,301.9618989097202,-1,155.6991,153.0560235,308.75512349999997
38631,ANZ_APT_PF_4,2018-06-01,3,201803,51.14109420776367,85,201803,76.49424951847232,85,201803,127.635343726236,-1,65.1384,163.401219,228.539619
38634,ANZ_APT_PN_1,2018-06-01,3,201803,25.60368156433105,86,201803,65.60236431735773,86,201803,91.20604588168878,-1,18.9531,93.24956594,112.2026659
38637,ANZ_APT_PN_2,2018-06-01,3,201803,32.580867767333984,87,201803,127.47460726159099,87,201803,160.055475028925,-1,45.1026,116.20823030000001,161.31083030000002
38640,ANZ_APT_PN_3,2018-06-01,3,201803,223.97381591796875,88,201803,333.88245625229723,88,201803,557.856272170266,-1,572.2146,-1.829796332,570.3848037
38643,ANZ_APT_PN_4,2018-06-01,3,201803,158.18038940429688,89,201803,181.4764377826774,89,201803,339.6568271869743,-1,258.1164,195.2569242,453.37332419999996
38646,ANZ_KC_GD_1,2018-06-01,3,201803,0.0,90,201803,8.646666726730231,90,201803,8.646666726730231,-1,0.0,11.26830606,11.26830606
38649,ANZ_KC_GD_2,2018-06-01,3,201803,0.0,91,201803,9.513921848820571,91,201803,9.513921848820571,-1,0.0,12.53613867,12.53613867
38652,ANZ_KC_GD_3,2018-06-01,3,201803,0.0,92,201803,12.88128169742928,92,201803,12.88128169742928,-1,0.0,26.33845269,26.33845269
38655,ANZ_KC_GD_4,2018-06-01,3,201803,0.0,93,201803,11.682444145206551,93,201803,11.682444145206551,-1,0.0,39.8351876,39.8351876
38658,ANZ_KC_GT_1,2018-06-01,3,201803,0.0,94,201803,29.973818565890003,94,201803,29.973818565890003,-1,0.0,47.03615776,47.03615776
38661,ANZ_KC_GT_2,2018-06-01,3,201803,0.0,95,201803,28.30706704192421,95,201803,28.30706704192421,-1,0.0,47.53530074,47.53530074
38664,ANZ_KC_GT_3,2018-06-01,3,201803,0.0,96,201803,107.13589588078848,96,201803,107.13589588078848,-1,0.0,121.4269908,121.4269908
38667,DE_APT_PF_1,2018-06-01,3,201803,21.145395278930664,97,201803,24.244751191514503,97,201803,45.390146470445174,-1,16.5064,39.00991319,55.51631319
38670,DE_APT_PF_2,2018-06-01,3,201803,47.08490753173828,98,201803,76.58108959335355,98,201803,123.66599712509183,-1,41.568000000000005,139.8853114,181.45331140000002
38673,DE_APT_PF_PRE,2018-06-01,3,201803,16.439567565917972,99,201803,43.44281658016653,99,201803,59.8823841460845,-1,18.1512,55.79403663,73.94523663
38676,DE_APT_PN_1,2018-06-01,3,201803,47.31019973754883,100,201803,51.01094048386593,100,201803,98.32114022141475,-1,23.3136,64.41056898,87.72416898
38679,DE_APT_PN_2,2018-06-01,3,201803,48.84048080444336,101,201803,129.19731598118315,101,201803,178.03779678562648,-1,35.1208,87.84497216,122.9657722
38682,DE_APT_PN_3,2018-06-01,3,201803,71.70852661132812,102,201803,183.0661910284476,102,201803,254.77471763977573,-1,65.7368,160.1303829,225.8671829
38685,DE_APT_PN_4,2018-06-01,3,201803,92.24610900878906,103,201803,235.3038034781644,103,201803,327.54991248695353,-1,120.7056,165.2262696,285.9318696
38688,DE_APT_PN_5,2018-06-01,3,201803,86.65353393554688,104,201803,128.31370036789127,104,201803,214.96723430343812,-1,80.7232,134.5390632,215.26226319999998
38691,DE_APT_PN_PRE,2018-06-01,3,201803,36.9774284362793,105,201803,40.182253074663656,105,201803,77.15968151094296,-1,19.2304,34.48320021,53.71360021
