country,sku_wo_pkg,brand,tier,stage,stage_3f,date,offtake_di,offtake_eib,offtake_il,sellin_eib,retailer_inv,sellout,sp_inv,sellin_di,isa,osa,price,price_krmb_per_ton_il,value_krmb_il,volume_ton_il,0to6_month_population,6to12_month_population,12to36_month_population,sellin_il,total_vol_old,if_vol_old,fo_vol_old,gum_vol_old,cl_vol_old,il_vol_old,0to6_month_population_old,6to12_month_population_old,12to36_month_population_old,uprep_old,upre_old,spre_old,mainstream_old,APT_si,C&G_si,Feihe_si,Friso_si,KC_si,NC_si,Weyth_si,brand_si,raw,brand_price,anp,tp,rebate,tp_rebate,sc_anp,sc_ts,total_vol,if_vol,fo_vol,gum_vol,cl_vol,il_vol,uprep,upre,spre,mainstream
DE,DE_APT_PN_PRE,APT,PN,PRE,IF,1/1/2015,0,171.9907735,171.9907735,0,,0,,0,,,242.4903802,,,,841.0916667,843.8,3278.441667,0,39890.2058,9187.71515,9230.369955,21472.1207,31446.93313,8443.272669,841.0916667,843.8,3278.441667,798.5289524,3612.80397,18283.99001,17194.20212,184110,118985,99607,97294,58465,71182,60507,184110,1/1/2015,244.4026269,,,,,,,44838.10118,10887.26669,10748.46211,23202.37238,36325.29701,8512.804173,1398.383866,4253.043967,20232.26173,18578.076
NL,NL_NC_PN_1,NC,PN,1,IF,1/1/2015,0,379.5987592,379.5987592,0,,0,,0,,,195.7902934,,,,841.0916667,843.8,3278.441667,0,39890.2058,9187.71515,9230.369955,21472.1207,31446.93313,8443.272669,841.0916667,843.8,3278.441667,798.5289524,3612.80397,18283.99001,17194.20212,184110,118985,99607,97294,58465,71182,60507,71182,1/1/2015,214.4648971,,,,,,,44838.10118,10887.26669,10748.46211,23202.37238,36325.29701,8512.804173,1398.383866,4253.043967,20232.26173,18578.076
NL,NL_NC_PN_2,NC,PN,2,FO,1/1/2015,0,348.1659985,348.1659985,0,,0,,0,,,203.4102561,,,,841.0916667,843.8,3278.441667,0,39890.2058,9187.71515,9230.369955,21472.1207,31446.93313,8443.272669,841.0916667,843.8,3278.441667,798.5289524,3612.80397,18283.99001,17194.20212,184110,118985,99607,97294,58465,71182,60507,71182,1/1/2015,214.4648971,,,,,,,44838.10118,10887.26669,10748.46211,23202.37238,36325.29701,8512.804173,1398.383866,4253.043967,20232.26173,18578.076
NL,NL_NC_PN_3,NC,PN,3,FO,1/1/2015,0,308.0696731,308.0696731,0,,0,,0,,,196.8756357,,,,841.0916667,843.8,3278.441667,0,39890.2058,9187.71515,9230.369955,21472.1207,31446.93313,8443.272669,841.0916667,843.8,3278.441667,798.5289524,3612.80397,18283.99001,17194.20212,184110,118985,99607,97294,58465,71182,60507,71182,1/1/2015,214.4648971,,,,,,,44838.10118,10887.26669,10748.46211,23202.37238,36325.29701,8512.804173,1398.383866,4253.043967,20232.26173,18578.076
NL,NL_NC_PN_4,NC,PN,4,GUM,1/1/2015,0,507.9644264,507.9644264,0,,0,,0,,,197.0750514,,,,841.0916667,843.8,3278.441667,0,39890.2058,9187.71515,9230.369955,21472.1207,31446.93313,8443.272669,841.0916667,843.8,3278.441667,798.5289524,3612.80397,18283.99001,17194.20212,184110,118985,99607,97294,58465,71182,60507,71182,1/1/2015,214.4648971,,,,,,,44838.10118,10887.26669,10748.46211,23202.37238,36325.29701,8512.804173,1398.383866,4253.043967,20232.26173,18578.076
NL,NL_NC_PN_5,NC,PN,5,GUM,1/1/2015,0,303.3221026,303.3221026,0,,0,,0,,,217.7445746,,,,841.0916667,843.8,3278.441667,0,39890.2058,9187.71515,9230.369955,21472.1207,31446.93313,8443.272669,841.0916667,843.8,3278.441667,798.5289524,3612.80397,18283.99001,17194.20212,184110,118985,99607,97294,58465,71182,60507,71182,1/1/2015,214.4648971,,,,,,,44838.10118,10887.26669,10748.46211,23202.37238,36325.29701,8512.804173,1398.383866,4253.043967,20232.26173,18578.076
NL,NL_NC_PN_6,NC,PN,6,GUM,1/1/2015,0,17.23676821,17.23676821,0,,0,,0,,,236.7694676,,,,841.0916667,843.8,3278.441667,0,39890.2058,9187.71515,9230.369955,21472.1207,31446.93313,8443.272669,841.0916667,843.8,3278.441667,798.5289524,3612.80397,18283.99001,17194.20212,184110,118985,99607,97294,58465,71182,60507,71182,1/1/2015,214.4648971,,,,,,,44838.10118,10887.26669,10748.46211,23202.37238,36325.29701,8512.804173,1398.383866,4253.043967,20232.26173,18578.076
UK,UK_APT_PF_1,APT,PF,1,IF,1/1/2015,0,0,0,0,,0,,0,,,0,,,,841.0916667,843.8,3278.441667,0,39890.2058,9187.71515,9230.369955,21472.1207,31446.93313,8443.272669,841.0916667,843.8,3278.441667,798.5289524,3612.80397,18283.99001,17194.20212,184110,118985,99607,97294,58465,71182,60507,184110,1/1/2015,215.2998484,,,,,,,44838.10118,10887.26669,10748.46211,23202.37238,36325.29701,8512.804173,1398.383866,4253.043967,20232.26173,18578.076
UK,UK_APT_PF_2,APT,PF,2,FO,1/1/2015,0,0,0,0,,0,,0,,,0,,,,841.0916667,843.8,3278.441667,0,39890.2058,9187.71515,9230.369955,21472.1207,31446.93313,8443.272669,841.0916667,843.8,3278.441667,798.5289524,3612.80397,18283.99001,17194.20212,184110,118985,99607,97294,58465,71182,60507,184110,1/1/2015,215.2998484,,,,,,,44838.10118,10887.26669,10748.46211,23202.37238,36325.29701,8512.804173,1398.383866,4253.043967,20232.26173,18578.076
UK,UK_APT_PF_3,APT,PF,3,GUM,1/1/2015,0,0,0,0,,0,,0,,,0,,,,841.0916667,843.8,3278.441667,0,39890.2058,9187.71515,9230.369955,21472.1207,31446.93313,8443.272669,841.0916667,843.8,3278.441667,798.5289524,3612.80397,18283.99001,17194.20212,184110,118985,99607,97294,58465,71182,60507,184110,1/1/2015,215.2998484,,,,,,,44838.10118,10887.26669,10748.46211,23202.37238,36325.29701,8512.804173,1398.383866,4253.043967,20232.26173,18578.076
